temp,humidity
24.4,45.5
25.0,45.0
24.7,50.8
20.8,63.3
19.7,70.6
18.7,80.6
17.6,86.5
18.5,80.1
19.4,72.0
19.2,72.5
19.3,77.7
18.8,80.9
19.0,78.5
19.4,81.4
21.2,79.8
22.6,75.8
22.2,74.8
23.3,70.5
24.6,65.0
23.0,71.2
23.6,69.0
24.7,62.5
24.5,55.3
24.4,65.1
25.1,66.9
25.0,64.2
26.9,67.3
21.8,77.3
22.1,82.4
23.4,83.8
21.9,89.6
22.1,84.6
22.4,82.6
23.8,74.0
24.9,69.6
23.2,70.4
23.7,76.9
24.0,81.2
24.3,80.4
24.2,81.0
24.1,81.0
26.4,77.6
28.2,79.9
27.4,83.7
26.4,95.6
27.3,88.3
29.1,84.4
27.1,88.4
25.3,88.0
25.6,82.6
23.7,82.7
23.3,82.7
22.8,86.8
23.6,88.6
23.9,85.7
23.5,85.6
22.2,84.4
19.8,90.6
20.7,85.8
21.5,83.5
27.2,79.8
27.2,83.4
29.0,88.2
28.6,83.6
28.9,82.7
27.6,87.8
26.1,97.3
26.1,89.2
22.2,87.0
27.8,83.9
29.1,82.4
28.7,87.0
28.8,79.6
29.9,75.1
29.5,82.8
29.2,85.5
27.7,92.3
27.6,94.0
27.3,92.5
26.1,92.5
23.4,92.0
25.9,88.5
27.5,85.8
27.4,89.6
25.9,95.1
26.4,84.9
25.8,74.2
25.8,93.2
24.4,96.6
27.0,89.2
27.2,78.1
23.0,87.5
22.5,89.6
23.1,90.1
21.9,92.5
24.3,90.3
27.7,79.4
27.2,72.3
27.4,84.7
27.7,85.4
28.2,88.4
27.3,94.5
27.4,75.1
26.2,83.8
26.8,86.2
27.7,75.1
24.8,83.1
22.5,79.1
22.7,78.9
22.6,77.6
27.7,80.3
28.1,87.8
27.5,83.9
28.4,85.5
29.5,79.5
28.8,76.6
29.0,74.4
28.8,79.9
28.5,76.7
28.9,73.8
28.7,80.1
27.4,80.9
25.9,89.5
26.6,85.6
26.3,73.8
26.0,69.6
25.9,65.5
23.7,71.6
21.1,71.0
26.2,63.3
25.6,63.2
25.6,62.7
25.3,63.9
25.4,60.7
25.1,56.0
25.3,54.9
22.8,61.0
24.5,60.6
25.5,60.2
24.9,64.9
25.0,67.6
25.2,71.8
23.9,69.8
23.4,66.3
19.3,70.3
18.4,70.5
18.1,68.8
17.7,66.3
16.7,61.7
16.2,53.7
15.8,49.9
15.4,56.6
20.6,51.5
20.1,56.0
21.1,43.8
20.0,47.4
18.4,54.9
14.3,60.9
15.2,60.5
20.0,52.7
19.7,56.1
15.3,73.8
13.3,75.0
13.6,69.7
13.5,59.6
13.2,53.2
13.0,53.7
12.6,63.6
12.5,71.1
13.0,68.6
12.9,69.7
12.7,71.5
12.6,72.4
12.0,74.1
11.8,73.0
9.9,82.7
10.7,76.1
10.8,74.8
9.6,81.3
9.0,72.3
8.8,71.1
9.0,65.1
9.4,68.3
10.3,68.9
9.3,76.6
7.9,86.3
9.3,65.6
11.2,51.1
11.7,60.2
11.7,63.7
12.1,58.4
11.3,56.9
10.5,62.0
11.0,63.6
11.3,61.4
11.5,67.7
11.4,62.7
12.4,60.3
11.9,65.0
11.6,67.1
10.4,69.4
9.8,82.6
8.1,83.2
8.2,71.7
7.8,68.5
5.7,71.3
5.6,71.0
5.7,59.9
6.9,54.8
8.3,50.2
9.5,53.5
9.1,59.2
8.5,60.7
7.3,62.1
7.5,59.1
7.8,53.2
6.9,54.7
4.2,82.9
3.7,83.5
4.3,79.7
6.3,64.2
7.3,61.0
7.1,70.4
10.2,72.0
11.1,80.2
9.4,86.7
