temp,humidity
31.0,76.2
31.2,74.3
31.3,70.5
31.4,69.5
31.7,71.1
32.1,70.0
32.3,67.3
30.4,74.0
29.9,73.8
27.1,83.7
26.7,87.4
28.3,74.9
29.1,82.3
29.8,75.1
27.9,77.5
29.4,78.7
30.1,78.7
29.6,80.3
29.2,81.5
28.8,84.4
29.3,83.2
29.2,85.2
28.8,87.2
29.0,81.3
27.7,90.1
29.4,86.2
30.2,80.9
29.9,80.6
29.5,83.1
29.3,79.0
29.9,76.4
30.3,78.8
29.7,82.9
30.6,77.3
29.6,82.2
29.3,84.4
28.7,85.2
29.0,83.2
28.6,84.2
27.2,93.8
26.6,97.5
27.4,92.7
29.1,84.0
28.1,91.6
28.9,88.0
29.0,86.6
29.7,83.5
29.5,85.1
26.6,93.6
27.2,93.2
26.7,95.7
26.3,97.2
26.2,96.7
26.7,94.6
28.4,88.8
29.2,86.3
29.4,83.1
29.6,80.7
29.6,80.4
28.7,86.4
28.0,88.5
28.6,82.6
28.3,86.9
27.0,93.6
26.5,96.1
27.6,90.9
27.3,93.5
28.6,86.3
28.8,83.6
29.2,81.0
28.1,88.5
26.8,95.0
26.5,95.6
26.5,95.5
27.8,90.2
28.2,88.5
29.0,85.1
28.6,86.1
28.2,87.0
27.3,91.9
27.9,88.7
26.8,92.4
27.7,90.6
28.1,88.9
27.2,91.8
27.4,89.3
27.9,86.9
27.4,91.7
26.7,94.3
27.5,91.0
28.2,86.9
28.2,86.4
28.4,84.7
28.3,83.1
28.4,81.8
26.4,92.8
26.1,95.6
26.3,93.1
27.4,88.3
27.4,87.3
28.5,85.1
29.0,81.7
29.8,78.6
30.2,82.0
30.4,84.4
28.8,83.2
29.8,78.7
30.1,82.4
29.7,81.0
28.9,83.9
28.2,85.2
28.4,83.9
27.6,86.4
27.7,86.3
27.8,88.8
27.3,89.8
27.2,90.0
27.4,92.4
29.0,81.5
28.1,90.5
26.7,95.0
26.0,98.2
27.4,91.8
28.1,86.9
29.0,75.3
28.6,78.9
28.5,79.9
28.8,78.6
28.9,77.5
29.0,75.9
29.2,80.0
28.8,84.7
27.1,87.1
28.5,83.5
29.0,81.9
30.0,77.3
30.0,80.8
31.1,70.1
30.0,80.6
28.9,83.9
29.4,83.8
29.4,87.0
28.5,88.0
27.5,93.5
29.2,78.2
29.2,72.2
28.6,78.2
28.9,83.3
29.6,84.9
29.8,82.7
28.9,85.4
29.1,80.1
29.5,85.2
29.6,81.5
29.6,72.5
29.9,57.4
29.6,65.2
29.3,69.4
29.6,65.3
29.1,57.1
29.0,54.6
29.7,61.6
29.8,60.2
29.8,56.5
29.6,49.5
29.3,45.4
28.8,51.8
29.8,47.0
29.0,48.0
28.0,48.2
27.4,41.0
28.0,39.9
28.4,55.6
29.5,60.3
29.8,63.9
30.2,59.4
30.4,59.2
29.5,64.0
29.2,61.4
28.5,56.9
28.0,60.2
27.7,64.9
27.7,54.1
27.6,55.0
28.0,57.0
27.9,56.8
28.5,40.4
27.9,48.2
28.7,57.8
28.8,60.7
29.6,60.0
28.8,63.2
28.1,52.0
27.2,51.6
27.5,52.0
27.3,43.9
27.6,44.4
27.7,47.8
28.8,50.7
28.9,62.6
26.3,73.5
26.4,73.5
25.4,72.9
24.4,85.3
25.8,79.2
26.1,77.5
26.4,74.9
27.1,67.4
27.3,56.4
26.7,50.9
26.0,48.7
25.3,47.6
24.9,52.3
25.2,55.4
26.9,56.3
27.5,56.9
26.6,63.2
24.2,48.2
23.5,55.6
24.4,64.5
26.5,59.8
27.1,66.8
26.1,73.2
24.8,67.7
24.9,64.0
25.1,61.3
25.1,61.1
26.4,62.3
26.6,77.3
27.0,76.6
28.1,72.8
28.9,68.0
29.1,63.8
28.5,57.6
27.0,58.9
25.4,64.6
25.0,56.8
25.6,61.6
26.4,61.4
27.1,51.6
26.7,50.2
25.2,51.4
25.4,60.0
26.4,57.9
25.4,60.1
24.4,55.3
23.8,60.4
23.7,62.0
23.2,64.6
23.8,61.3
25.4,52.6
25.6,47.9
27.2,52.0
28.1,45.1
26.9,49.5
26.3,50.9
26.1,49.8
26.5,38.8
27.9,31.0
27.1,33.8
26.6,38.2
25.9,50.2
26.3,52.4
26.5,56.4
26.5,50.5
26.2,63.4
25.8,64.7
25.0,75.6
25.4,69.9
26.4,63.8
27.1,50.6
27.3,47.7
29.0,39.2
29.1,45.1
29.0,46.9
29.8,45.5
29.1,45.6
28.5,53.7
28.3,56.7
29.6,46.5
29.9,45.7
29.5,43.6
29.3,40.5
29.8,43.3
29.3,54.6
28.1,76.2
28.8,51.8
28.6,48.0
29.6,52.4
29.2,56.4
