temp,humidity
35.6,35.9
34.9,33.2
34.8,42.4
30.2,59.3
30.4,62.7
27.3,80.6
26.8,77.8
29.9,72.6
29.9,71.3
30.5,66.9
27.7,77.7
23.6,91.1
27.4,78.5
30.2,68.5
32.2,65.2
34.0,58.7
33.6,62.1
33.0,65.8
34.0,65.2
33.2,67.1
33.2,68.0
31.1,76.8
30.7,73.6
29.4,81.5
29.6,81.8
30.6,77.2
29.8,77.0
28.2,84.5
29.3,82.2
28.7,85.1
29.5,85.5
27.7,89.7
28.8,85.0
29.2,79.0
30.5,77.5
27.8,86.9
30.0,80.1
30.2,81.5
32.3,74.3
30.9,83.0
30.2,85.2
29.4,83.7
27.6,88.9
27.6,90.5
29.4,86.3
30.5,83.8
29.4,86.7
30.6,83.2
31.2,78.9
31.5,76.2
28.8,85.2
30.3,83.9
30.1,83.5
31.9,77.6
31.7,80.3
29.3,85.9
28.4,88.2
28.2,89.0
28.7,83.4
29.8,81.1
29.8,82.7
30.2,80.1
31.5,77.3
30.9,80.8
29.5,84.7
26.7,92.0
28.7,86.4
29.1,88.3
29.0,88.7
29.6,85.6
29.6,84.7
30.9,82.4
30.4,83.2
30.5,77.3
30.7,80.4
31.2,81.4
30.6,86.0
30.8,82.7
30.5,84.4
28.0,92.1
27.6,93.9
28.3,93.1
30.2,85.2
30.6,83.3
31.3,80.1
31.6,81.6
28.3,87.0
30.7,79.0
29.0,83.6
28.3,87.3
28.0,88.1
29.0,84.6
30.0,83.7
30.1,82.9
28.7,86.9
29.5,83.6
28.9,84.3
29.1,79.5
30.0,79.5
30.0,80.2
28.7,87.4
29.5,85.7
30.7,81.0
30.6,81.1
30.9,77.6
31.4,81.3
31.6,76.9
30.8,79.9
30.9,81.3
30.6,82.4
30.8,81.5
31.3,80.8
31.1,82.3
31.1,80.2
31.1,80.1
31.5,79.0
31.3,76.9
30.3,83.0
31.1,75.2
31.5,76.9
29.5,78.6
27.0,92.3
25.2,96.4
27.5,84.8
29.5,78.6
