temp,humidity
27.0,71.8
26.3,75.3
24.9,83.0
25.5,79.3
24.9,79.9
24.9,79.0
26.8,75.3
25.6,80.4
25.1,78.3
25.0,76.6
25.7,75.7
25.9,73.8
24.5,81.4
24.8,77.7
26.3,70.2
26.0,73.4
24.9,78.5
23.8,82.8
23.5,76.1
23.8,82.9
24.6,79.5
25.2,76.4
25.1,79.8
24.1,83.1
24.0,82.0
25.1,76.9
25.4,74.2
24.3,80.3
23.9,81.3
25.4,72.4
24.8,80.7
24.3,83.6
24.4,82.5
24.9,81.6
25.3,80.1
25.0,81.6
25.2,78.9
25.1,76.8
23.3,88.8
23.4,86.4
23.9,82.2
23.8,85.7
23.6,83.8
24.1,82.4
23.9,84.9
24.0,84.7
23.6,86.7
24.9,77.9
25.2,77.4
25.0,77.7
24.0,83.3
23.0,90.6
22.5,93.6
22.9,89.8
23.8,85.9
24.6,85.6
23.8,89.4
24.9,78.9
26.1,76.8
25.2,81.9
24.1,84.8
24.3,80.5
24.1,79.7
24.1,81.7
24.8,79.5
23.6,91.3
24.0,85.8
24.5,83.9
23.6,87.3
23.7,85.3
23.3,86.6
22.6,88.1
22.6,87.7
24.2,84.1
24.3,83.5
23.7,86.1
22.6,89.6
22.5,86.8
23.2,88.3
23.8,81.4
24.2,78.1
23.2,82.7
23.0,82.0
22.2,87.5
22.5,91.3
23.4,84.5
23.5,83.4
23.4,84.4
24.3,81.6
24.8,82.5
24.6,83.1
24.7,82.2
25.2,72.6
25.6,73.8
24.7,73.9
25.3,68.1
25.9,67.3
26.0,70.9
24.9,79.5
24.3,83.9
23.0,90.9
24.0,86.6
25.3,79.5
25.3,83.8
25.7,80.6
24.8,79.4
25.1,79.9
23.9,87.2
23.5,84.2
22.7,87.2
22.2,92.3
22.0,91.7
22.5,88.3
23.3,84.0
24.1,80.7
24.0,79.7
24.3,79.9
22.7,88.3
21.1,96.6
22.6,85.0
22.4,85.9
23.1,78.2
23.9,81.0
24.9,78.9
23.1,85.3
23.9,80.3
24.3,80.5
22.9,89.6
22.7,86.7
23.7,77.9
24.7,77.7
23.9,83.9
23.1,81.7
23.8,77.3
25.2,74.4
25.3,76.6
26.0,71.5
24.3,86.7
23.7,84.3
22.2,93.2
22.3,91.1
21.8,92.0
22.2,84.4
22.9,80.0
23.8,77.6
23.8,78.3
24.0,82.4
23.6,88.0
23.3,90.7
22.9,91.7
22.8,92.6
22.2,91.8
22.0,84.1
24.2,77.1
24.3,71.4
23.8,71.9
23.2,69.7
21.7,75.8
22.7,66.6
24.1,68.7
24.8,66.9
24.6,73.9
24.7,72.0
24.4,77.7
24.2,81.8
24.3,83.4
24.0,81.2
23.7,80.2
23.2,74.1
21.3,62.8
22.0,71.0
23.6,82.4
22.3,92.6
23.3,80.4
21.7,92.4
21.9,94.5
23.0,83.0
22.6,83.4
23.1,82.2
22.6,73.2
22.3,58.3
21.0,61.7
21.8,75.7
22.2,80.7
21.0,86.5
19.7,98.0
19.9,89.4
21.6,81.6
21.6,86.8
22.2,79.6
21.2,69.5
20.3,81.9
19.6,93.6
20.7,93.3
21.2,90.5
21.0,90.7
21.8,87.1
21.4,92.6
21.8,87.1
21.3,69.9
21.2,69.8
20.1,72.9
20.2,76.9
20.6,73.9
20.6,74.0
21.2,85.2
21.5,84.3
22.2,69.8
20.3,78.4
20.3,77.7
19.6,72.7
19.6,73.0
20.7,78.5
21.4,77.3
21.3,70.2
21.0,66.7
20.9,68.7
21.2,61.9
21.6,75.4
22.6,77.9
21.4,86.2
20.9,72.9
20.4,83.5
21.8,83.8
21.1,86.5
21.6,85.2
21.3,95.3
21.6,92.5
22.5,87.8
21.8,87.6
22.1,83.8
22.2,83.3
20.7,81.6
21.4,76.0
20.5,84.0
21.9,79.8
21.9,77.6
22.3,71.3
20.9,70.9
21.5,72.7
22.2,73.0
23.3,71.8
23.8,73.5
22.7,70.8
21.9,66.5
21.2,68.9
21.5,62.0
21.5,61.2
20.9,67.8
22.3,71.9
22.9,64.3
22.4,67.0
22.2,63.2
21.6,65.2
21.7,68.8
21.7,58.5
21.4,59.2
21.9,56.4
21.9,45.3
21.8,49.5
20.9,59.9
21.0,51.4
20.6,56.3
21.2,49.9
21.4,55.1
22.4,54.7
23.7,52.3
23.6,55.9
23.5,52.4
22.7,63.4
21.8,71.4
20.6,77.8
20.9,85.2
22.6,74.9
24.1,63.9
24.0,60.2
25.0,49.5
25.7,47.9
25.8,48.7
26.0,42.1
25.1,38.3
25.0,39.8
24.6,40.3
23.9,38.3
23.7,45.6
25.3,44.9
25.9,42.5
25.6,41.7
24.7,52.8
25.7,55.4
25.8,57.1
25.3,45.7
25.0,44.8
25.4,46.8
25.7,43.5
26.5,43.9
26.1,47.7
26.0,48.0
25.6,43.4
25.8,41.4
26.1,41.0
26.5,38.9
27.5,49.6
26.9,51.5
27.8,44.7
28.0,39.3
27.7,46.7
27.2,48.7
27.5,48.1
28.1,51.7
29.4,40.0
29.3,45.7
28.6,44.5
28.4,48.3
29.1,47.5
28.0,52.4
27.6,56.0
27.9,42.8
27.5,42.2
27.3,42.9
26.7,47.4
27.1,52.8
27.2,61.1
26.9,61.2
25.4,73.7
24.7,74.4
26.8,61.5
27.7,59.3
28.2,57.8
28.5,57.0
27.4,60.7
27.3,64.9
26.3,67.7
25.2,72.7
24.7,76.9
26.7,65.7
27.8,56.9
27.3,55.2
27.7,53.5
28.2,55.1
27.0,58.4
27.1,59.3
27.1,62.1
27.5,64.4
26.6,68.6
27.6,63.0
27.7,62.4
27.5,61.6
27.2,65.8
28.1,60.9
27.4,68.3
27.4,68.1
25.8,79.2
25.7,77.4
26.5,71.4
24.2,77.0
24.2,79.7
25.6,72.2
25.5,75.8
26.6,69.9
25.3,78.3
23.8,88.2
24.9,79.5
25.7,73.4
26.0,69.1
24.6,80.8
25.0,75.5
25.6,66.7
25.7,64.5
26.0,69.0
26.2,67.4
26.5,65.6
26.1,69.8
25.7,75.2
25.1,80.7
23.9,88.2
23.9,85.8
25.0,77.0
26.2,68.2
26.0,63.7
24.5,72.8
24.4,75.3
24.6,69.7
23.8,79.5
23.3,80.9
23.0,83.5
23.2,85.7
23.6,84.7
23.9,80.7
23.8,79.1
24.0,74.9
24.5,73.2
24.6,74.4
24.7,72.1
25.5,70.5
