temp,humidity,predicted_disease,image_path
20.0,85.4,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_1005.jpg
20.1,88.6,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_1607.jpg
20.2,93.2,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_4991.jpg
20.3,92.6,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_1291.jpg
20.4,92.1,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_1205.jpg
20.4,88.2,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_554.jpg
20.5,91.3,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_5012.jpg
20.5,91.7,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_1961.jpg
20.6,91.4,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_3471.jpg
20.7,85.8,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_1213.jpg
20.7,90.2,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_862.jpg
20.7,89.0,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_4952.jpg
20.8,91.2,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_2152.jpg
20.8,89.5,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\Alternaria leaf spot (150).jpg
20.9,94.7,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_4746.jpg
20.9,85.9,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_3112.jpg
21.0,92.8,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_4123.jpg
21.0,87.0,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_4505.jpg
21.0,87.3,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_5200.jpg
21.0,87.4,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\Alternaria leaf spot (21).jpg
21.1,95.9,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_1174.jpg
21.1,86.0,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\Alternaria leaf spot (232).jpg
21.1,85.8,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_3511.jpg
21.1,86.5,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_949.jpg
21.2,92.2,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_2220.jpg
21.2,94.0,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_1157.jpg
21.2,94.2,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_707.jpg
21.2,89.7,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_4357.jpg
21.2,85.8,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_4605.jpg
21.3,92.2,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_5050.jpg
21.3,95.6,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_1295.jpg
21.3,94.3,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_3767.jpg
21.3,91.2,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\Alternaria leaf spot (299).jpg
21.4,86.4,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_4419.jpg
21.4,90.1,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_5213.jpg
21.5,90.7,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_2929.jpg
21.5,87.9,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_1565.jpg
21.5,85.5,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_4748.jpg
21.5,94.1,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_3393.jpg
21.5,90.9,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_3368.jpg
21.5,87.6,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_2279.jpg
21.6,89.2,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_1771.jpg
21.6,88.1,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_4618.jpg
21.6,86.3,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\Alternaria leaf spot (395).jpg
21.7,90.7,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_1824.jpg
21.7,91.9,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_2116.jpg
21.7,91.7,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_2656.jpg
21.7,86.7,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_2870.jpg
21.8,85.3,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_4046.jpg
21.8,93.9,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_1009.jpg
21.9,89.6,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_4121.jpg
21.9,92.5,Alternaria leaf spot,D:\crops\dataset\Apple\Alternaria leaf spot\aug_4736.jpg
