temp,humidity,predicted_disease,image_path
31.0,76.2,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_sharpness_17.jpg
31.2,74.3,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_sharpness_18.jpg
31.3,70.5,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_brightness_36.jpg
31.7,71.1,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\28.jpg
32.1,70.0,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_brightness_8.jpg
30.4,74.0,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_constract_26.jpg
30.1,78.7,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flip9.jpg
30.2,80.9,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_constract_9.jpg
30.3,78.8,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_pil_brightness_16.jpg
30.6,77.3,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_pil_constract_20.jpg
30.2,82.0,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_brightness_10.jpg
30.4,84.4,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoom2.jpg
30.1,82.4,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_constract_14.jpg
30.0,77.3,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\25.jpg
30.0,80.8,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_constract_11.jpg
31.1,70.1,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_pil_color_30.jpg
30.0,80.6,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_color_21.jpg
25.0,56.8,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_brightness_7.jpg
30.0,48.3,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_color_4.jpg
30.3,40.6,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_color_16.jpg
30.5,41.9,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_constract_9.jpg
30.7,37.0,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_brightness_26.jpg
30.7,44.5,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_sharpness_37.jpg
30.3,46.6,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_pil_constract_14.jpg
31.5,43.3,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_20.jpg
32.5,31.1,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoom13.jpg
31.9,32.9,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_color_24.jpg
32.9,29.4,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_pil_sharpness_30.jpg
30.0,70.3,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_brightness_38.jpg
30.7,72.1,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_color_17.jpg
30.3,72.3,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_sharpness_2.jpg
30.1,71.6,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_pil_sharpness_6.jpg
31.1,70.9,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_sharpness_35.jpg
30.3,73.8,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_constract_30.jpg
30.8,77.0,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_brightness_27.jpg
31.2,70.2,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_color_31.jpg
30.5,71.9,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_constract_28.jpg
30.7,72.6,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_color_33.jpg
30.2,76.0,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_11.jpg
31.0,75.5,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_constract_19.jpg
30.7,75.2,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_color_35.jpg
30.8,73.6,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_pil_color_2.jpg
30.8,74.5,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_16.jpg
31.0,73.4,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_constract_31.jpg
30.3,75.2,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_brightness_1.jpg
30.8,72.3,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_color_10.jpg
30.8,72.0,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_brightness_18.jpg
31.0,72.8,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_color_26.jpg
30.8,74.3,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_brightness_33.jpg
30.7,70.9,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_brightness_26.jpg
30.8,73.7,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_color_26.jpg
31.1,75.2,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_color_17.jpg
31.3,74.2,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_2.jpg
31.1,73.5,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flip28.jpg
30.4,72.0,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_sharpness_14.jpg
30.1,71.2,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_sharpness_6.jpg
30.2,81.2,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_sharpness_25.jpg
30.1,79.1,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_color_23.jpg
30.2,77.2,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_31.jpg
30.0,77.0,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_brightness_7.jpg
30.1,75.9,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\27.jpg
30.4,75.7,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_sharpness_23.jpg
30.4,75.7,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_brightness_19.jpg
30.6,74.9,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_color_38.jpg
30.2,76.4,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_brightness_39.jpg
30.7,74.7,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_brightness_13.jpg
30.1,80.4,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_brightness_36.jpg
30.0,80.4,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_brightness_3.jpg
31.0,74.6,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_brightness_25.jpg
30.3,76.2,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_brightness_10.jpg
30.4,47.7,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_33.jpg
30.6,47.7,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_brightness_17.jpg
30.8,46.1,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_sharpness_27.jpg
30.5,43.8,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_color_20.jpg
31.4,39.5,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_brightness_37.jpg
32.3,26.8,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoom33.jpg
32.4,33.9,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\21.jpg
32.1,37.8,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_color_19.jpg
31.6,46.3,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_30.jpg
30.0,43.1,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_constract_32.jpg
31.1,33.9,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_constract_1.jpg
30.2,77.0,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_color_2.jpg
30.0,77.1,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_constract_14.jpg
30.2,74.9,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_brightness_38.jpg
30.0,72.2,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_19.jpg
30.8,70.5,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_pil_color_9.jpg
33.0,44.4,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_9.jpg
31.9,70.0,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_pil_color_16.jpg
31.1,73.5,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_sharpness_2.jpg
31.3,75.2,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_pil_sharpness_39.jpg
30.9,71.8,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flip17.jpg
30.6,75.9,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_color_18.jpg
30.8,74.4,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flip12.jpg
30.8,73.9,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_color_39.jpg
30.8,70.6,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_sharpness_31.jpg
30.6,72.3,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_constract_34.jpg
30.5,73.7,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoompil_constract_10.jpg
30.7,75.2,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_color_27.jpg
30.9,74.1,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_constract_5.jpg
30.6,77.6,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_pil_constract_27.jpg
30.6,75.5,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_color_22.jpg
30.4,76.5,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_pil_brightness_20.jpg
30.8,74.3,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_28.jpg
30.8,71.6,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_constract_35.jpg
30.7,71.0,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\rotate_zoom31.jpg
31.0,71.0,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_sharpness_24.jpg
30.8,73.0,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_constract_7.jpg
30.8,70.7,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_constract_37.jpg
30.2,73.2,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_brightness_33.jpg
30.5,71.8,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_pil_sharpness_6.jpg
30.5,71.7,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_pil_sharpness_32.jpg
30.9,74.4,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_brightness_7.jpg
31.1,75.1,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flip4.jpg
31.1,73.9,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_sharpness_14.jpg
31.0,72.6,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_sharpness_39.jpg
30.8,71.4,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_pil_sharpness_22.jpg
31.0,71.0,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\2.jpg
31.3,71.8,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_pil_constract_7.jpg
31.6,73.4,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_8.jpg
30.7,76.4,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_pil_constract_30.jpg
30.0,74.5,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\4.jpg
30.2,74.9,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_brightness_9.jpg
30.3,77.7,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_color_15.jpg
25.0,42.3,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_brightness_39.jpg
25.0,59.2,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_constract_7.jpg
33.5,38.0,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\pil_brightness_23.jpg
34.6,31.2,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\vertical_flippil_sharpness_40.jpg
30.6,40.2,Bacterial Blight,D:\crops\dataset\cotton\Bacterial blight\random_crop_pil_color_18.jpg
