temp,humidity,predicted_disease,image_path
23.0,90.6,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 1696.JPG
22.5,93.6,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 2688.JPG
22.5,91.3,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 1726.JPG
23.0,90.9,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 1603.JPG
22.2,92.3,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 1972.JPG
22.0,91.7,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 2352.JPG
21.1,96.6,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 2118.JPG
22.2,93.2,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 1967.JPG
22.3,91.1,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 1751.JPG
21.8,92.0,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 1677.JPG
22.9,91.7,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 2501.JPG
22.8,92.6,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 2438.JPG
22.2,91.8,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 1627.JPG
22.3,92.6,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 2051.JPG
21.7,92.4,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 1647.JPG
21.9,94.5,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 2551.JPG
19.7,98.0,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 2070.JPG
19.6,93.6,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 2007.JPG
20.7,93.3,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 2569.JPG
21.2,90.5,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 2348.JPG
21.0,90.7,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 1588.JPG
21.4,92.6,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 2705.JPG
21.3,95.3,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 2706.JPG
21.6,92.5,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 2769.JPG
22.3,92.5,Common Rust,D:\crops\dataset\maize\Common_rust\RS_Rust 2277.JPG
