temp,humidity,predicted_disease,image_path
25.9,90.7,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\589a6ce6-fa0d-4b2a-9f83-59f103aa8afa___GCREC_Bact.Sp 3146.JPG
26.3,90.8,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\aug_3708.jpg
26.9,90.1,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\64208676-e4c1-4f27-84ba-38c7e0790320___GCREC_Bact.Sp 3779.JPG
26.4,91.4,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\BS_(262).jpg
25.9,91.4,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\b34a1119-72d6-4c68-88f2-17ab64ee3457___GCREC_Bact.Sp 3101.JPG
26.3,90.1,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\BS_(12).jpg
25.5,94.4,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\aug_3778.jpg
26.1,91.4,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\75348d38-1c41-4798-89c9-b99660d937ef___GCREC_Bact.Sp 5602.JPG
25.7,91.0,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\Septoria Leafspot.jpg
25.6,92.5,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\Bs89_hight.jpg
25.9,93.6,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\Bacterial_spots563_jpg.rf.48e5f1ad4fa652be8d5e58017370f150.jpg
25.3,96.4,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\Bs42_change_180.jpg
25.4,92.7,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\caf5fa98-1dd1-44a8-8ce1-35fff6e06818___GCREC_Bact.Sp 5783.JPG
26.3,90.3,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\717c7e16-5170-4f12-9e76-cffdfe950803___GCREC_Bact.Sp 3718.JPG
25.1,95.6,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\7f0a444d-f5ca-4378-a06d-fa94469f2ae1___GCREC_Bact.Sp 3686.JPG
25.5,91.7,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\a6c99119-aca8-43e0-bb73-5616aa205bbc___GCREC_Bact.Sp 5577.JPG
25.0,93.5,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\Bs73_change_270.jpg
25.9,90.2,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\BS_(349).jpg
25.3,91.3,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\8227d24c-9e0f-4119-9324-8ba192ba9201___GCREC_Bact.Sp 3299.JPG
25.3,90.9,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\Bs62.JPG
25.6,91.0,Bacterial Spot,D:\crops\dataset\tomato\Bacterial_spot\Bs80_change_180.jpg
