temp,humidity,predicted_disease
20,85.4,Alternaria leaf spot
20.1,88.6,Alternaria leaf spot
20.2,93.2,Alternaria leaf spot
20.3,92.6,Alternaria leaf spot
20.4,92.1,Alternaria leaf spot
20.4,88.2,Alternaria leaf spot
20.5,91.3,Alternaria leaf spot
20.5,91.7,Alternaria leaf spot
20.6,91.4,Alternaria leaf spot
20.7,85.8,Alternaria leaf spot
20.7,90.2,Alternaria leaf spot
20.7,89,Alternaria leaf spot
20.8,91.2,Alternaria leaf spot
20.8,89.5,Alternaria leaf spot
20.9,94.7,Alternaria leaf spot
20.9,85.9,Alternaria leaf spot
21,92.8,Alternaria leaf spot
21,87,Alternaria leaf spot
21,87.3,Alternaria leaf spot
21,87.4,Alternaria leaf spot
21.1,95.9,Alternaria leaf spot
21.1,86,Alternaria leaf spot
21.1,85.8,Alternaria leaf spot
21.1,86.5,Alternaria leaf spot
21.2,92.2,Alternaria leaf spot
21.2,94,Alternaria leaf spot
21.2,94.2,Alternaria leaf spot
21.2,89.7,Alternaria leaf spot
21.2,85.8,Alternaria leaf spot
21.3,92.2,Alternaria leaf spot
21.3,95.6,Alternaria leaf spot
21.3,94.3,Alternaria leaf spot
21.3,91.2,Alternaria leaf spot
21.4,86.4,Alternaria leaf spot
21.4,90.1,Alternaria leaf spot
21.5,90.7,Alternaria leaf spot
21.5,87.9,Alternaria leaf spot
21.5,85.5,Alternaria leaf spot
21.5,94.1,Alternaria leaf spot
21.5,90.9,Alternaria leaf spot
21.5,87.6,Alternaria leaf spot
21.6,89.2,Alternaria leaf spot
21.6,88.1,Alternaria leaf spot
21.6,86.3,Alternaria leaf spot
21.7,90.7,Alternaria leaf spot
21.7,91.9,Alternaria leaf spot
21.7,91.7,Alternaria leaf spot
21.7,86.7,Alternaria leaf spot
21.8,85.3,Alternaria leaf spot
21.8,93.9,Alternaria leaf spot
21.9,89.6,Alternaria leaf spot
21.9,92.5,Alternaria leaf spot
21.9,90.9,Alternaria leaf spot
21.9,93.2,Alternaria leaf spot
21.9,93.3,Alternaria leaf spot
21.9,92.2,Alternaria leaf spot
21.9,88.1,Alternaria leaf spot
22,88.6,Alternaria leaf spot
22.1,88.3,Alternaria leaf spot
22.1,90,Alternaria leaf spot
22.1,90.4,Alternaria leaf spot
22.1,87.1,Alternaria leaf spot
22.2,87,Alternaria leaf spot
22.2,91.2,Alternaria leaf spot
22.2,88.1,Alternaria leaf spot
22.2,88.8,Alternaria leaf spot
22.2,86.6,Alternaria leaf spot
22.2,91.5,Alternaria leaf spot
22.2,89.4,Alternaria leaf spot
22.2,87,Alternaria leaf spot
22.2,90,Alternaria leaf spot
22.2,90.6,Alternaria leaf spot
22.3,91.8,Alternaria leaf spot
22.3,87.8,Alternaria leaf spot
22.3,92.2,Alternaria leaf spot
22.3,87.6,Alternaria leaf spot
22.4,90.7,Alternaria leaf spot
22.4,89.7,Alternaria leaf spot
22.4,88.2,Alternaria leaf spot
22.4,87.8,Alternaria leaf spot
22.4,88,Alternaria leaf spot
22.4,90.2,Alternaria leaf spot
22.4,89.3,Alternaria leaf spot
22.5,89.6,Alternaria leaf spot
22.5,86.6,Alternaria leaf spot
22.5,89.1,Alternaria leaf spot
22.5,89.8,Alternaria leaf spot
22.5,89.3,Alternaria leaf spot
22.5,88.3,Alternaria leaf spot
22.5,88.6,Alternaria leaf spot
22.6,89.4,Alternaria leaf spot
22.6,91.6,Alternaria leaf spot
22.6,89.5,Alternaria leaf spot
22.6,88.1,Alternaria leaf spot
