temp,humidity,predicted_disease
31,76.2,Bacterial Blight
31.2,74.3,Bacterial Blight
31.3,70.5,Bacterial Blight
31.7,71.1,Bacterial Blight
32.1,70,Bacterial Blight
30.4,74,Bacterial Blight
30.1,78.7,Bacterial Blight
30.2,80.9,Bacterial Blight
30.3,78.8,Bacterial Blight
30.6,77.3,Bacterial Blight
30.2,82,Bacterial Blight
30.4,84.4,Bacterial Blight
30.1,82.4,Bacterial Blight
30,77.3,Bacterial Blight
30,80.8,Bacterial Blight
31.1,70.1,Bacterial Blight
30,80.6,Bacterial Blight
25,56.8,Bacterial Blight
30,48.3,Bacterial Blight
30.3,40.6,Bacterial Blight
30.5,41.9,Bacterial Blight
30.7,37,Bacterial Blight
30.7,44.5,Bacterial Blight
30.3,46.6,Bacterial Blight
31.5,43.3,Bacterial Blight
32.5,31.1,Bacterial Blight
31.9,32.9,Bacterial Blight
32.9,29.4,Bacterial Blight
30,70.3,Bacterial Blight
30.7,72.1,Bacterial Blight
30.3,72.3,Bacterial Blight
30.1,71.6,Bacterial Blight
31.1,70.9,Bacterial Blight
30.3,73.8,Bacterial Blight
30.8,77,Bacterial Blight
31.2,70.2,Bacterial Blight
30.5,71.9,Bacterial Blight
30.7,72.6,Bacterial Blight
30.2,76,Bacterial Blight
31,75.5,Bacterial Blight
30.7,75.2,Bacterial Blight
30.8,73.6,Bacterial Blight
30.8,74.5,Bacterial Blight
31,73.4,Bacterial Blight
30.3,75.2,Bacterial Blight
30.8,72.3,Bacterial Blight
30.8,72,Bacterial Blight
31,72.8,Bacterial Blight
30.8,74.3,Bacterial Blight
30.7,70.9,Bacterial Blight
30.8,73.7,Bacterial Blight
31.1,75.2,Bacterial Blight
31.3,74.2,Bacterial Blight
31.1,73.5,Bacterial Blight
30.4,72,Bacterial Blight
30.1,71.2,Bacterial Blight
30.2,81.2,Bacterial Blight
30.1,79.1,Bacterial Blight
30.2,77.2,Bacterial Blight
30,77,Bacterial Blight
30.1,75.9,Bacterial Blight
30.4,75.7,Bacterial Blight
30.4,75.7,Bacterial Blight
