temp,humidity,predicted_disease
27.3,80.6,Early Blight
26.8,77.8,Early Blight
27.7,77.7,Early Blight
27.4,78.5,Early Blight
28.2,84.5,Early Blight
28.7,85.1,Early Blight
27.7,89.7,Early Blight
28.8,85,Early Blight
27.8,86.9,Early Blight
27.6,88.9,Early Blight
28.8,85.2,Early Blight
28.4,88.2,Early Blight
28.2,89,Early Blight
28.7,83.4,Early Blight
28.7,86.4,Early Blight
29,88.7,Early Blight
28.3,87,Early Blight
29,83.6,Early Blight
28.3,87.3,Early Blight
28,88.1,Early Blight
29,84.6,Early Blight
28.7,86.9,Early Blight
28.9,84.3,Early Blight
28.7,87.4,Early Blight
27.5,84.8,Early Blight
28.9,75.9,Early Blight
28.2,73.5,Early Blight
28.2,75,Early Blight
28.8,75.8,Early Blight
28.7,73.2,Early Blight
28.4,72.7,Early Blight
27.8,71.3,Early Blight
28.5,70,Early Blight
28.3,71.5,Early Blight
29,73.6,Early Blight
26.3,71.3,Early Blight
26,74.2,Early Blight
24,71.5,Early Blight
25.5,78.4,Early Blight
27,77.7,Early Blight
25.2,87.5,Early Blight
26,87.1,Early Blight
27.6,81.6,Early Blight
25.5,86.2,Early Blight
24.6,88.3,Early Blight
29,80.4,Early Blight
26.5,86.3,Early Blight
27,86.2,Early Blight
25.8,86.2,Early Blight
28.5,85.8,Early Blight
28,87.8,Early Blight
26.7,89.7,Early Blight
26.3,89.7,Early Blight
28,88.1,Early Blight
29,87.9,Early Blight
28.8,89.5,Early Blight
28.8,88.9,Early Blight
28,88.4,Early Blight
28.4,88.1,Early Blight
28.7,87.2,Early Blight
28.9,88.9,Early Blight
27.4,89,Early Blight
29,88.1,Early Blight
29,87.9,Early Blight
28.5,89.9,Early Blight
28.8,88.8,Early Blight
28.7,87,Early Blight
28.5,87.9,Early Blight
29,87.6,Early Blight
27.2,86.4,Early Blight
26.7,87,Early Blight
28.1,86.1,Early Blight
28.7,85.3,Early Blight
28.9,87,Early Blight
28.9,83.8,Early Blight
28.5,83.4,Early Blight
28.8,80.3,Early Blight
28.9,77.8,Early Blight
28.8,81.2,Early Blight
29,79.6,Early Blight
27.9,71.7,Early Blight
27.8,74.2,Early Blight
28.8,79.3,Early Blight
28.3,86.7,Early Blight
27.3,88.4,Early Blight
25.8,86.1,Early Blight
25.4,81.3,Early Blight
24.9,78,Early Blight
25.5,78.4,Early Blight
25.8,78.1,Early Blight
25.3,79.7,Early Blight
24.7,75.6,Early Blight
26.4,72.4,Early Blight
26.9,77.9,Early Blight
27.9,74,Early Blight
28.7,70.6,Early Blight
28.4,71.9,Early Blight
26.1,79.1,Early Blight
25.7,84.2,Early Blight
29,88.9,Early Blight
28.8,84.4,Early Blight
27.1,86.7,Early Blight
28.1,89,Early Blight
28.6,89.3,Early Blight
28.6,86.4,Early Blight
28.7,86.2,Early Blight
28.3,87.1,Early Blight
29,89,Early Blight
28.6,88.7,Early Blight
27.8,89.9,Early Blight
28.5,87.2,Early Blight
28.7,83.9,Early Blight
27.3,89.6,Early Blight
27.3,89.6,Early Blight
28.4,89,Early Blight
28.5,87.2,Early Blight
28.5,85.7,Early Blight
28.8,83.4,Early Blight
28.6,86.9,Early Blight
26.2,90,Early Blight
26.8,82.8,Early Blight
26,84.4,Early Blight
25.5,81.1,Early Blight
25.5,76.2,Early Blight
25.8,78.3,Early Blight
26,80.6,Early Blight
25.3,80.8,Early Blight
25.5,81.7,Early Blight
25.5,80.1,Early Blight
25.1,81.7,Early Blight
25.2,78.9,Early Blight
24.7,75.9,Early Blight
24,80.9,Early Blight
24,83.9,Early Blight
24.7,81.9,Early Blight
24.1,79.7,Early Blight
24,79.4,Early Blight
24.1,80,Early Blight
28.3,84.1,Early Blight
29,88.2,Early Blight
28.5,84.6,Early Blight
26.8,84.7,Early Blight
28.1,82.3,Early Blight
27.9,71.5,Early Blight
27,71.4,Early Blight
28,76.2,Early Blight
28.5,73.8,Early Blight
28.1,79.5,Early Blight
27.7,85.5,Early Blight
27.9,81.9,Early Blight
27.5,73.8,Early Blight
26.5,74.6,Early Blight
27.3,77,Early Blight
24.1,73.6,Early Blight
24.2,70.8,Early Blight
24.5,70.1,Early Blight
27.7,73.2,Early Blight
27.5,71.9,Early Blight
27.8,72.5,Early Blight
27.2,77.6,Early Blight
26.9,81.9,Early Blight
27.5,81.8,Early Blight
27.6,79.4,Early Blight
25.9,73.2,Early Blight
28.9,72.4,Early Blight
27.7,78.4,Early Blight
25.3,84.5,Early Blight
26.6,82.2,Early Blight
28.6,74.2,Early Blight
28.7,74.2,Early Blight
28.3,81.4,Early Blight
28.4,81.7,Early Blight
26.9,89.1,Early Blight
27.1,84.7,Early Blight
27.7,81.5,Early Blight
29,88.8,Early Blight
28.7,87.6,Early Blight
29,89,Early Blight
28.7,88.8,Early Blight
28.9,89.9,Early Blight
28.9,89.4,Early Blight
29,87.7,Early Blight
28.5,89.3,Early Blight
28.1,89.6,Early Blight
28.8,88.6,Early Blight
27.5,89.7,Early Blight
28.7,88.3,Early Blight
28.8,77.3,Early Blight
28.7,76.2,Early Blight
28.2,81.8,Early Blight
28.2,81.3,Early Blight
28.5,79.6,Early Blight
28.5,83.4,Early Blight
28.3,83.4,Early Blight
28.4,75.9,Early Blight
26.6,70.4,Early Blight
26.8,73.9,Early Blight
25.3,81.2,Early Blight
24.9,77.5,Early Blight
24.3,70.9,Early Blight
24.1,70.7,Early Blight
26,72,Early Blight
26.4,72.8,Early Blight
27,73.1,Early Blight
26.9,75.2,Early Blight
24.6,70.5,Early Blight
24.3,81.7,Early Blight
24.5,78.9,Early Blight
25.3,71.1,Early Blight
29,74.6,Early Blight
27.9,78.3,Early Blight
27.8,84,Early Blight
28.6,85.6,Early Blight
29,83.9,Early Blight
27.9,88.2,Early Blight
29,85.2,Early Blight
28.7,84.8,Early Blight
28.8,85.7,Early Blight
29,84.2,Early Blight
28.3,86.2,Early Blight
27,88.1,Early Blight
27.6,86.7,Early Blight
28.8,84.2,Early Blight
28.9,84.9,Early Blight
28.7,83.1,Early Blight
28,84.8,Early Blight
27.4,87.8,Early Blight
27.2,89,Early Blight
27.3,88,Early Blight
28.1,86.2,Early Blight
27.6,86.9,Early Blight
27.6,86.6,Early Blight
28.5,85.9,Early Blight
27.7,86.7,Early Blight
29,82.7,Early Blight
29,81.9,Early Blight
27.5,85.6,Early Blight
26.6,89.8,Early Blight
27.9,86.5,Early Blight
28.5,86.4,Early Blight
28,83.2,Early Blight
28,86.3,Early Blight
28.5,82.9,Early Blight
27.8,87,Early Blight
29,81.5,Early Blight
28,84.2,Early Blight
28.2,84.1,Early Blight
28.3,82.9,Early Blight
28.2,80.9,Early Blight
29,78.8,Early Blight
27.9,80.6,Early Blight
28,79.7,Early Blight
27.8,83.3,Early Blight
28.3,72.8,Early Blight
27.6,74.3,Early Blight
27.8,70.6,Early Blight
27.9,70.6,Early Blight
28.3,70.3,Early Blight
26.9,78.1,Early Blight
25.4,76.7,Early Blight
27,74.2,Early Blight
27.4,70.9,Early Blight
25.7,71.1,Early Blight
25.2,75,Early Blight
24.9,80.1,Early Blight
24.1,80.2,Early Blight
24.2,80.7,Early Blight
25,76.4,Early Blight
25,71.4,Early Blight
16.1,90.4,Late Blight
15.9,93.2,Late Blight
16.8,93.7,Late Blight
16.4,92.6,Late Blight
17.4,90.5,Late Blight
16.2,91.3,Late Blight
16.2,90.3,Late Blight
15.1,90.6,Late Blight
18.1,90.1,Late Blight
15.6,91.7,Late Blight
15.2,91,Late Blight
17.7,91.9,Late Blight
19.2,91.5,Late Blight
19.3,92.3,Late Blight
